district,neighborhood,nearest_metro_km,metro_500m,metro_1km,weighted_1km,cafe_1km,restaurant_1km,university_2km,park_1km
umraniye,yukaridudullu,0.558,0,2,2.0,5,7,1,15
sultanbeyli,necipfazil,3.525,0,0,0.0,43,70,0,5
buyukcekmece,mimarsinan,17.292,0,0,0.0,0,6,1,4
sultangazi,zubeydehanim,2.811,0,0,0.0,19,20,1,37
arnavutkoy,merkez,0.89,0,1,1.0,3,7,0,8
beykoz,pasabahce,5.393,0,0,0.0,5,2,0,5
kagithane,sirintepe,0.0,2,3,3.0,9,14,4,36
bagcilar,demirkapi,0.783,0,1,1.0,24,34,1,20
pendik,camcesme,1.227,0,0,0.0,1,2,0,13
gaziosmanpasa,kazimkarabekir,0.589,0,2,2.0,4,9,0,49
sisli,gulbahar,0.854,0,2,2.0,40,46,8,30
eyupsultan,alibeykoy,0.306,1,2,2.0,12,14,2,46
buyukcekmece,merkez,17.292,0,0,0.0,0,6,1,4
besiktas,abbasaga,0.626,0,1,1.0,120,82,18,25
buyukcekmece,tepecik,15.673,0,0,0.0,31,55,1,6
sultanbeyli,turgutreis,4.531,0,0,0.0,13,36,0,6
esenyurt,kirac,10.223,0,0,0.0,4,1,0,4
sultangazi,sultanciftligi,2.439,0,0,0.0,21,20,1,30
gungoren,tozkoparan,0.678,0,2,2.0,17,21,9,13
maltepe,gulsuyu,0.502,0,2,2.0,1,2,0,19
eyupsultan,yesilpinar,0.43,1,2,2.0,11,14,0,56
beyoglu,tarlabasi,0.264,1,1,1.5,223,267,15,24
kucukcekmece,sefakoy,0.818,0,1,1.0,8,10,2,11
esenler,merkez,0.987,0,1,1.0,12,9,6,21
esenler,birlik,1.144,0,0,0.0,1,4,0,27
eyupsultan,merkez,1.961,0,0,0.0,19,16,3,34
besiktas,gayrettepe,0.067,1,5,5.0,30,44,11,17
kagithane,caglayan,0.0,2,3,3.0,9,14,4,36
uskudar,beylerbeyi,2.151,0,0,0.0,6,13,0,11
catalca,izzettin,22.321,0,0,0.0,0,5,0,11
catalca,ferhatpasa,22.321,0,0,0.0,0,5,0,11
catalca,kaleici,22.321,0,0,0.0,0,5,0,11
besiktas,levazim,0.881,0,2,2.0,10,15,8,15
besiktas,arnavutkoy,1.758,0,0,0.0,15,30,4,6
kadikoy,fikirtepe,0.89,0,1,1.0,31,25,4,22
eyupsultan,gokturk,0.641,0,1,1.0,5,1,0,2
sariyer,tarabya,1.896,0,0,0.0,0,4,0,4
uskudar,unalan,0.591,0,2,2.0,9,6,5,15
uskudar,cengelkoy,3.258,0,0,0.0,6,13,3,4
sancaktepe,samandira,1.638,0,0,0.0,12,29,0,12
kagithane,hamidiye,0.0,2,3,3.0,9,14,4,36
uskudar,bahcelievler,3.227,0,0,0.0,1,3,3,19
maltepe,idealtepe,0.377,1,1,1.0,33,34,4,21
kadikoy,suadiye,0.183,1,3,3.0,125,98,0,24
atasehir,kucukbakkalkoy,0.186,1,1,1.0,44,100,6,38
kadikoy,caferaga,0.659,0,1,1.0,294,148,2,13
zeytinburnu,maltepe,1.036,0,0,0.0,8,11,8,15
kadikoy,goztepe,0.345,1,1,1.0,42,46,5,17
umraniye,esensehir,0.47,1,2,2.0,2,7,1,14
uskudar,altunizade,0.523,0,2,2.0,31,13,7,37
kartal,rahmanlar,0.456,1,2,2.0,31,12,0,22
zeytinburnu,merkezefendi,1.438,0,0,0.0,49,63,10,21
kadikoy,19 mayis,0.848,0,3,3.0,63,57,3,33
sisli,fulya,0.781,0,3,3.0,75,87,22,27
sancaktepe,sarigazi,0.363,1,1,1.0,18,7,0,22
sariyer,merkez,3.919,0,0,0.0,7,7,0,17
maltepe,zumrutevler,0.682,0,2,2.0,12,12,2,14
kadikoy,bostanci,0.392,2,3,3.0,74,75,2,25
kadikoy,feneryolu,0.372,1,1,1.0,57,69,5,24
kadikoy,fenerbahce,1.397,0,0,0.0,39,34,1,12
kadikoy,merdivenkoy,0.746,0,1,1.0,21,22,6,24
basaksehir,bahcesehir,6.612,0,0,0.5,6,3,0,24
sisli,19 mayis,0.528,0,3,3.0,76,84,17,20
pendik,yenisehir,2.464,0,0,0.0,17,34,1,15
beylikduzu,kavakli,11.339,0,0,0.0,0,1,0,6
sariyer,koyler,3.912,0,0,0.0,7,6,0,16
fatih,merkez,6.697,0,0,0.0,0,0,0,0
zeytinburnu,cirpici,0.552,0,2,2.0,21,61,5,27
maltepe,esenkent,0.871,0,1,1.0,0,2,0,14
bagcilar,gunesli,0.934,0,2,2.0,18,64,0,25
kadikoy,erenkoy,0.068,1,1,1.0,107,85,2,19
kadikoy,kozyatagi,0.51,0,3,3.0,88,63,2,20
basaksehir,koyler,0.542,0,2,2.0,9,6,0,17
kadikoy,rasimpasa,0.468,1,2,2.5,183,118,2,14
sultanbeyli,mimarsinan,3.525,0,0,0.0,43,70,0,5
umraniye,serifali,0.855,0,1,1.0,11,35,0,11
sariyer,rumelihisari,0.886,0,1,2.0,20,27,6,12
gungoren,haznedar,0.457,1,2,2.0,12,12,6,24
tuzla,postane,2.711,0,0,0.0,7,12,2,25
cekmekoy,tasdelen,2.816,0,0,0.0,2,7,0,13
bakirkoy,atakoy,0.558,0,3,3.0,12,21,4,21
sisli,tesvikiye,0.78,0,1,1.0,131,108,25,23
sisli,cumhuriyet,0.564,0,1,1.0,61,77,15,21
uskudar,bulgurlu,0.343,1,2,2.0,26,20,1,40
atasehir,ornek,0.679,0,1,1.0,11,7,4,27
kagithane,seyrantepe,0.0,2,3,3.0,9,14,4,36
sisli,bozkurt,0.421,1,1,1.0,84,88,15,19
kartal,esentepe,0.841,0,1,1.0,16,20,1,27
maltepe,feyzullah,0.465,1,2,2.0,71,67,1,18
bahcelievler,yenibosna,0.626,0,2,2.0,2,6,0,20
atasehir,merkez,1.564,0,0,0.0,22,66,2,32
maltepe,yali,0.471,1,2,2.0,61,54,0,15
atasehir,barbaros,1.272,0,0,0.0,26,68,2,18
bayrampasa,muratpasa,0.721,0,2,2.0,31,23,2,31
tuzla,icmeler,0.575,0,1,1.0,2,3,0,22
uskudar,acibadem,0.834,0,1,1.0,15,11,8,20
fatih,aksaray,0.282,4,5,5.5,152,310,46,33
basaksehir,merkez,0.181,1,1,1.0,1,4,0,7
kadikoy,sahrayicedit,0.628,0,1,1.0,30,32,4,37
kartal,topselvi,0.761,0,1,1.0,1,4,1,13
eyupsultan,kemerburgaz,1.606,0,0,0.0,0,0,1,10
cekmekoy,merkez,2.139,0,0,0.0,7,9,0,17
besiktas,akatlar,0.461,1,2,2.0,18,41,9,22
bahcelievler,zafer,1.249,0,0,0.0,5,17,2,21
sisli,merkez,0.702,0,3,3.0,35,46,7,18
besiktas,turkali,0.942,0,1,1.0,139,100,22,28
bahcelievler,merkez,0.626,0,2,2.0,2,6,0,20
sisli,mesrutiyet,0.396,1,1,1.0,100,102,23,21
beykoz,anadoluhisari,1.908,0,0,0.0,14,20,6,11
pendik,carsi,0.624,0,1,1.0,11,20,2,20
bayrampasa,altintepsi,0.521,0,3,3.0,16,18,4,32
beylikduzu,yakuplu,8.685,0,0,0.0,3,0,0,4
atasehir,icerenkoy,0.769,0,2,2.0,14,42,6,22
fatih,sehremini,0.699,0,1,1.0,131,206,9,32
umraniye,esenevler,1.417,0,0,0.0,7,6,1,44
kadikoy,acibadem,0.17,1,1,1.0,44,35,8,34
beylikduzu,gurpinar,13.427,0,0,0.0,0,1,0,26
uskudar,kandilli,1.721,0,0,0.0,5,17,6,8
