price,area_m2,room_count,district,neighborhood,total_rooms,walkability_score,price_per_room,student_score
26500.0,92.0,2+1,buyukcekmece,mimar sinan merkez,3.0,14.19,8833.333333333334,43.98
30000.0,130.0,2+1,buyukcekmece,pinartepe,3.0,14.19,10000.0,39.18
28000.0,100.0,2+1,buyukcekmece,kamiloba,3.0,14.19,9333.333333333334,41.89
30000.0,75.0,1+1,buyukcekmece,pinartepe,2.0,14.19,15000.0,25.04
30000.0,110.0,3+1,buyukcekmece,kamiloba,4.0,14.19,7500.0,49.73
30000.0,140.0,3+1,buyukcekmece,cumhuriyet,4.0,14.19,7500.0,49.73
30000.0,90.0,2+1,buyukcekmece,murat cesme,3.0,14.19,10000.0,39.18
27500.0,90.0,2+1,buyukcekmece,murat cesme,3.0,14.19,9166.666666666666,42.59
27500.0,80.0,2+1,buyukcekmece,kamiloba,3.0,14.19,9166.666666666666,42.59
28000.0,120.0,3+1,buyukcekmece,bahcelievler,4.0,14.19,7000.0,51.37
30000.0,80.0,1+1,buyukcekmece,ataturk,2.0,14.19,15000.0,25.04
30000.0,90.0,2+1,buyukcekmece,kumburgaz,3.0,14.19,10000.0,39.18
30000.0,100.0,2+1,buyukcekmece,kumburgaz,3.0,14.19,10000.0,39.18
30000.0,100.0,2+1,buyukcekmece,celaliye,3.0,14.19,10000.0,39.18
30000.0,120.0,3+1,buyukcekmece,fatih,4.0,14.19,7500.0,49.73
30000.0,120.0,3+1,buyukcekmece,mimar sinan merkez,4.0,14.19,7500.0,49.73
29500.0,140.0,3+1,buyukcekmece,mimar sinan merkez,4.0,14.19,7375.0,50.23
30000.0,150.0,3+1,buyukcekmece,ekinoba,4.0,14.19,7500.0,49.73
27000.0,100.0,2+1,buyukcekmece,ataturk,3.0,14.19,9000.0,43.29
28000.0,90.0,2+1,buyukcekmece,ulus,3.0,14.19,9333.333333333334,41.89
27000.0,78.0,2+1,buyukcekmece,19 mayis,3.0,14.19,9000.0,43.29
28000.0,80.0,2+1,buyukcekmece,turkoba,3.0,14.19,9333.333333333334,41.89
30000.0,140.0,3+1,buyukcekmece,cakmakli,4.0,14.19,7500.0,49.73
27000.0,110.0,3+1,buyukcekmece,bahcelievler,4.0,14.19,6750.0,52.05
30000.0,110.0,2+1,buyukcekmece,dizdariye,3.0,14.19,10000.0,39.18
30000.0,110.0,2+1,buyukcekmece,kumburgaz,3.0,14.19,10000.0,39.18
30000.0,55.0,1+1,buyukcekmece,mimar sinan merkez,2.0,14.19,15000.0,25.04
28000.0,98.0,2+1,buyukcekmece,turkoba,3.0,14.19,9333.333333333334,41.89
30000.0,125.0,3+1,buyukcekmece,pinartepe,4.0,14.19,7500.0,49.73
27500.0,90.0,2+1,buyukcekmece,dizdariye,3.0,14.19,9166.666666666666,42.59
30000.0,85.0,2+1,buyukcekmece,murat cesme,3.0,14.19,10000.0,39.18
30000.0,110.0,2+1,buyukcekmece,pinartepe,3.0,14.19,10000.0,39.18
28000.0,165.0,3+1,buyukcekmece,ekinoba,4.0,14.19,7000.0,51.37
27500.0,125.0,3+1,buyukcekmece,dizdariye,4.0,14.19,6875.0,51.79
30000.0,110.0,2+1,buyukcekmece,kamiloba,3.0,14.19,10000.0,39.18
30000.0,79.0,1+1,buyukcekmece,alkent 2000,2.0,14.19,15000.0,25.04
30000.0,105.0,2+1,buyukcekmece,yenimahalle,3.0,14.19,10000.0,39.18
30000.0,110.0,2+1,buyukcekmece,mimar sinan merkez,3.0,14.19,10000.0,39.18
27500.0,95.0,2+1,buyukcekmece,kumburgaz,3.0,14.19,9166.666666666666,42.59
27000.0,100.0,2+1,buyukcekmece,19 mayis,3.0,14.19,9000.0,43.29
28000.0,110.0,2+1,buyukcekmece,ataturk,3.0,14.19,9333.333333333334,41.89
28000.0,80.0,2+1,buyukcekmece,murat cesme,3.0,14.19,9333.333333333334,41.89
29500.0,80.0,1+1,buyukcekmece,pinartepe,2.0,14.19,14750.0,26.01
26500.0,59.0,1+1,buyukcekmece,pinartepe,2.0,14.19,13250.0,29.6
30000.0,98.0,2+1,buyukcekmece,turkoba,3.0,14.19,10000.0,39.18
30750.0,160.0,3+1,buyukcekmece,dizdariye,4.0,14.19,7687.5,48.74
30000.0,90.0,2+1,buyukcekmece,mimar sinan merkez,3.0,14.19,10000.0,39.18
28000.0,85.0,1+1,buyukcekmece,mimar sinan merkez,2.0,14.19,14000.0,27.34
30000.0,135.0,2+1,buyukcekmece,fatih,3.0,14.19,10000.0,39.18
30000.0,105.0,1+1,buyukcekmece,ekinoba,2.0,14.19,15000.0,25.04
28000.0,85.0,1+1,buyukcekmece,ekinoba,2.0,14.19,14000.0,27.34
29000.0,90.0,2+1,buyukcekmece,cumhuriyet,3.0,14.19,9666.666666666666,40.68
30000.0,90.0,2+1,buyukcekmece,kamiloba,3.0,14.19,10000.0,39.18
28000.0,120.0,3+1,buyukcekmece,kumburgaz,4.0,14.19,7000.0,51.37
30000.0,90.0,2+1,buyukcekmece,bahcelievler,3.0,14.19,10000.0,39.18
28000.0,105.0,2+1,buyukcekmece,kumburgaz,3.0,14.19,9333.333333333334,41.89
31000.0,72.0,2+1,buyukcekmece,ekinoba,3.0,14.19,10333.333333333334,37.7
29000.0,90.0,2+1,buyukcekmece,kumburgaz,3.0,14.19,9666.666666666666,40.68
50000.0,165.0,2+1,buyukcekmece,ekinoba,3.0,14.19,16666.666666666668,21.68
50000.0,202.0,3.5+1,buyukcekmece,alkent 2000,4.5,14.19,11111.111111111111,35.56
50000.0,190.0,3+1,buyukcekmece,fatih,4.0,14.19,12500.0,31.36
55000.0,175.0,4+2,buyukcekmece,ataturk,6.0,14.19,9166.666666666666,42.59
52500.0,135.0,3+1,buyukcekmece,ekinoba,4.0,14.19,13125.0,29.77
50000.0,165.0,3+1,buyukcekmece,kamiloba,4.0,14.19,12500.0,31.36
