name,category,weight,lat,lon
Meclis,metro,1.0,41.0096577,29.198884
MODOKO-KEYAP,metro,1.0,41.0074042,29.1620118
İMES,metro,1.0,41.000233,29.155986
Mevlana,metro,1.0,40.9921566,29.1533813
Kayışdağı,metro,1.0,40.9846866,29.1377413
İçerenköy,metro,1.0,40.9789595,29.1262074
Küçükbakkalköy,metro,1.0,40.978931,29.1118694
Ayşekadın,metro,1.0,40.9668107,29.0867801
Emin Ali Paşa,metro,1.0,40.9606909,29.093549
Kemerburgaz,metro,1.0,41.159163,28.9102378
İstanbul Havalimanı,metro,1.0,41.2559331,28.7425561
Kozyatağı,metro,1.0,40.97539,29.0996756
Ümraniye,metro,1.0,41.024613,29.0847972
Çarşı,metro,1.0,41.0259405,29.097392
Yenikapı,metro,1.0,41.0056529,28.9514872
Kirazlı,metro,1.0,41.03199,28.8429812
Üsküdar,metro,1.0,41.0253395,29.0127634
Hastane Adliye,metro,1.0,40.9163935,29.1783001
Haliç,metro,1.0,41.02269,28.9666792
Şişhane,metro,1.0,41.0282743,28.9727191
Taksim,metro,1.0,41.0380506,28.985549
Osmanbey,metro,1.0,41.0527755,28.9874046
Şişli,metro,1.0,41.0645059,28.9927696
Bağcılar Meydan,metro,1.0,41.0346825,28.8566398
Üçyüzlü,metro,1.0,41.0367017,28.8706993
Menderes,metro,1.0,41.0427411,28.8784952
Esenler,metro,1.0,41.0375744,28.8885873
Otogar,metro,1.0,41.0402205,28.8946029
Kocatepe,metro,1.0,41.0484359,28.8954925
Sağmalcılar,metro,1.0,41.0408573,28.9072178
Bayrampaşa-Maltepe,metro,1.0,41.0341072,28.9202627
Topkapı Ulubatlı,metro,1.0,41.0239057,28.9305575
Aksaray,metro,1.0,41.0119976,28.9481445
Yenikapı,metro,1.0,41.0057787,28.9505178
Terazidere,metro,1.0,41.0304621,28.8978698
Zeytinburnu,metro,1.0,41.0017169,28.8899747
Merter,metro,1.0,41.007618,28.8961837
Bahçelievler,metro,1.0,40.9954814,28.8633136
Ataköy-Şirinevler,metro,1.0,40.9913785,28.8457709
Yenibosna,metro,1.0,40.9893998,28.8368204
DTM-İstanbul Fuar Merkezi,metro,1.0,40.986602,28.8284735
Atatürk Havalimanı,metro,1.0,40.9797455,28.8211267
Boğaziçi Üniversitesi/Hisarüstü,metro,1.0,41.0851345,29.0456413
4. Levent,metro,1.0,41.086111,29.0071653
İTÜ-Ayazağa,metro,1.0,41.1080715,29.0209695
Darüşşafaka,metro,1.0,41.1292759,29.0250803
Hacıosman,metro,1.0,41.1397645,29.0304548
Oruç Reis - Yüzyıl,metro,1.0,41.0627949,28.8554546
Göztepe,metro,1.0,41.056831,28.8479795
Huzurevi,metro,1.0,40.9299537,29.1468056
Gülsuyu,metro,1.0,40.9238717,29.1547148
Esenkent,metro,1.0,40.920837,29.1664075
Soğanlık,metro,1.0,40.9132162,29.1924269
Şehir Hastanesi,metro,1.0,41.1032301,28.7772334
Molla Gürani,metro,1.0,41.0259439,28.8479604
Yıldıztepe,metro,1.0,41.0194161,28.8577509
İlkyuva,metro,1.0,41.0116361,28.8655579
Haznedar,metro,1.0,41.0046217,28.8716807
İncirli,metro,1.0,40.9976332,28.8750558
Özgürlük Meydanı,metro,1.0,40.981628,28.8740542
Bakırköy Sahil,metro,1.0,40.9736492,28.8680322
Kozyatağı,metro,1.0,40.9774855,29.0998855
Mecidiyeköy,metro,1.0,41.0651758,28.9955189
Atatürk Mahallesi,metro,1.0,41.0522224,28.7987338
Bahariye,metro,1.0,41.0584718,28.7993012
MASKO,metro,1.0,41.0641121,28.8041363
Halkalı Caddesi,metro,1.0,41.0450113,28.8065121
15 Temmuz,metro,1.0,41.036891,28.814003
Mimar Sinan,metro,1.0,41.0250887,28.8165787
Doğu Sanayi,metro,1.0,41.0149413,28.8179193
29 Ekim Cumhuriyet,metro,1.0,41.0061738,28.8186101
Çobançeşme,metro,1.0,40.9997399,28.8226129
Yenibosna,metro,1.0,40.9894427,28.8379196
Ataköy,metro,1.0,40.9799289,28.8562809
Kağıthane,metro,1.0,41.080086,28.9765616
Hasdal,metro,1.0,41.1212167,28.9468433
Göktürk,metro,1.0,41.1770052,28.8836557
İhsaniye,metro,1.0,41.242904,28.8089418
Kargo Terminali,metro,1.0,41.2554335,28.7126953
Bostancı,metro,1.0,40.9517055,29.0967248
Taksim,funicular,0.5,41.0367764,28.9866305
Konut Birlik,other,0.5,41.03461,28.763349
Altınşehir,other,0.5,41.0474135,28.7477316
Bahçeşehir,other,0.5,41.0843995,28.6788126
Ispartakule,other,0.5,41.0629617,28.6993868
Bulgurlu,metro,1.0,41.0162865,29.0762576
Boğaziçi Üniversitesi/Hisarüstü,funicular,0.5,41.0850943,29.0458748
Aşiyan,funicular,0.5,41.08138,29.0549987
Taşoluk,metro,1.0,41.2070653,28.715889
Arnavutköy Hastane,metro,1.0,41.1790982,28.7476829
Cankurtaran,other,0.5,41.0055376,28.9830122
Sarıgazi,metro,1.0,41.0100295,29.2126756
Yedikule,other,0.5,40.9935264,28.9269188
Kocamustafapaşa,other,0.5,40.9999287,28.9331768
Cerrahpaşa,other,0.5,41.0028107,28.9402407
Yenikapı,other,0.5,41.004765,28.9524013
Kumkapı,other,0.5,41.0033651,28.9629002
Sirkeci,other,0.5,41.0150174,28.977962
Ömerli,other,0.5,41.1172857,28.6414161
Haydarpaşa,other,0.5,40.9968284,29.0199126
