price,area_m2,room_count,district,sub_district,neighborhood,total_rooms,walkability_score,price_per_room,student_score,lat,lon,is_district_center,nearest_metro_km,metro_500m,metro_1km,weighted_1km,restaurant_1km,cafe_1km,university_2km,park_1km,is_periphery
17000.0,65.0,1+1,arnavutkoy,hadimkoy(boyalik),deliklikaya,2.0,10.88,8500.0,47.91,41.184471,28.7412446,1,0.8045091011774234,0,1,1.0,7,3,0,6,1
18000.0,120.0,3+1,arnavutkoy,arnavutkoy,yunus emre,4.0,10.88,4500.0,54.88,41.1851922,28.7605273,0,1.2706755506278418,0,0,0.0,0,0,0,4,1
18000.0,97.0,2+1,arnavutkoy,bolluca,hicret,3.0,10.88,6000.0,53.67,41.1986596,28.7666478,0,2.6925144497725544,0,0,0.0,0,0,0,4,1
16500.0,90.0,2+1,arnavutkoy,arnavutkoy,yunus emre,3.0,10.88,5500.0,54.16,41.1851922,28.7605273,0,1.2706755506278418,0,0,0.0,0,0,0,4,1
15000.0,65.0,1+1,arnavutkoy,arnavutkoy,mustafa kemal pasa,2.0,10.88,7500.0,50.9,41.1868267,28.7358834,0,1.309042278511146,0,0,0.0,7,3,0,4,1
15000.0,90.0,2+1,arnavutkoy,arnavutkoy,anadolu,3.0,10.88,5000.0,54.58,41.1851685,28.7494522,0,0.6910362576658765,0,1,1.0,6,2,0,6,1
17000.0,75.0,1+1,arnavutkoy,arnavutkoy,i̇slambey,2.0,10.88,8500.0,47.91,41.1885825,28.7415591,0,1.1725280226041899,0,0,0.0,7,3,0,4,1
15000.0,110.0,2+1,arnavutkoy,arnavutkoy,nenehatun,3.0,10.88,5000.0,54.58,41.1821756,28.740234,0,0.7111367946282976,0,1,1.0,7,3,0,4,1
17000.0,85.0,2+1,arnavutkoy,arnavutkoy,nenehatun,3.0,10.88,5666.666666666667,54.01,41.1821756,28.740234,0,0.7111367946282976,0,1,1.0,7,3,0,4,1
15000.0,80.0,2+1,arnavutkoy,bogazkoy,ataturk,3.0,10.88,5000.0,54.58,41.180139,28.763479,0,1.3270438816195733,0,0,0.0,0,0,0,1,1
17000.0,100.0,2+1,arnavutkoy,tasoluk,tasoluk,3.0,10.88,5666.666666666667,54.01,41.1915259,28.707349,0,1.86980303378312,0,0,0.0,0,0,0,3,1
17000.0,65.0,1+1,arnavutkoy,haracci,karlibayir,2.0,10.88,8500.0,47.91,41.18262,28.720008,0,2.348963054782343,0,0,0.0,1,0,0,3,1
18000.0,80.0,2+1,arnavutkoy,arnavutkoy,mustafa kemal pasa,3.0,10.88,6000.0,53.67,41.1868267,28.7358834,0,1.309042278511146,0,0,0.0,7,3,0,4,1
15000.0,79.0,2+1,arnavutkoy,bogazkoy,bogazkoy i̇stiklal,3.0,10.88,5000.0,54.58,41.180795,28.770647,0,1.9311127561775363,0,0,0.0,0,0,0,1,1
16000.0,80.0,2+1,arnavutkoy,arnavutkoy,i̇slambey,3.0,10.88,5333.333333333333,54.28,41.1885825,28.7415591,0,1.1725280226041899,0,0,0.0,7,3,0,4,1
15000.0,60.0,2+0,arnavutkoy,arnavutkoy,i̇slambey,2.0,10.88,7500.0,50.9,41.1885825,28.7415591,0,1.1725280226041899,0,0,0.0,7,3,0,4,1
18000.0,70.0,2+1,arnavutkoy,arnavutkoy,anadolu,3.0,10.88,6000.0,53.67,41.1851685,28.7494522,0,0.6910362576658765,0,1,1.0,6,2,0,6,1
20000.0,80.0,1.5+1,arnavutkoy,arnavutkoy,arnavutkoy merkez,2.5,10.88,8000.0,49.75,41.1823968,28.7426319,0,0.5596614389752314,0,1,1.0,7,3,0,4,1
20000.0,80.0,2+1,arnavutkoy,arnavutkoy,hadimkoy,3.0,10.88,6666.666666666667,52.58,41.1585587,28.6212692,0,4.889652492141454,0,0,0.0,1,0,0,2,1
22000.0,90.0,2+1,arnavutkoy,arnavutkoy,arnavutkoy merkez,3.0,10.88,7333.333333333333,51.38,41.1823968,28.7426319,0,0.5596614389752314,0,1,1.0,7,3,0,4,1
