district,sub_district,neighborhood,location_id,listing_count,lat,lon,geocode_strategy,is_district_center,display_name
atasehir,atasehir,yenisehir,31,16,40.9939446,29.140645,1.0,0.0,"Yenişehir Mahallesi, Ataşehir, İstanbul, Marmara Bölgesi, Türkiye"
atasehir,barbaros,merkez,32,69,40.9951827,29.1044146,1.0,0.0,"Batı Ataşehir Merkez Taksi, Mor Menekşe Sokağı, Batı Ataşehir, Barbaros Mahallesi, Ataşehir, İstanbul, Marmara Bölgesi, 34746, Türkiye"
atasehir,ferhatpasa,ferhatpasa,33,5,40.9766147,29.1752595,1.0,0.0,"Ferhatpaşa Yolu Caddesi, Büyükbakkalköy Mahallesi, Maltepe, İstanbul, Marmara Bölgesi, 34858, Türkiye"
atasehir,i̇cerenkoy,i̇cerenkoy,34,60,40.9789595,29.1262074,1.0,0.0,"İçerenköy, Kayışdağı Caddesi, Karakol Yolu, İçerenköy Mahallesi, Ataşehir, İstanbul, Marmara Bölgesi, 34752, Türkiye"
atasehir,kayisdagi,i̇nonu,35,82,40.9785435,29.1273909,1.0,0.0,"Bizim Çocuk Özel Eğitim ve Rehabilitasyon Merkezi, İnönü Mahallesi, Ulusu Caddesi, 19 Mayıs Caddesi, İnönü Mahallesi, Ataşehir, İstanbul, Marmara Bölgesi, 34755, Türkiye"
atasehir,kayisdagi,kayisdagi,36,95,40.9846866,29.1377413,1.0,0.0,"Kayışdağı, Dudullu Caddesi, Kayışdağı Mahallesi, Ataşehir, İstanbul, Marmara Bölgesi, 34755, Türkiye"
atasehir,kucukbakkalkoy,kucukbakkalkoy,37,40,40.9789726,29.1137234,1.0,0.0,"Küçükbakkalköy, Kayışdağı Caddesi, Bağlariçi, Küçükbakkalköy Mahallesi, Ataşehir, İstanbul, Marmara Bölgesi, 34750, Türkiye"
atasehir,namik kemal,mustafa kemal,38,4,40.9849843,29.1338417,2.0,0.0,"Namık Kemal Caddesi, Atatürk Mahallesi, Ataşehir, İstanbul, Marmara Bölgesi, 34758, Türkiye"
atasehir,ornek,esatpasa,39,32,40.9956672,29.0784307,2.0,0.0,"Örnek Mahallesi, Ataşehir, İstanbul, Marmara Bölgesi, 34704, Türkiye"
atasehir,ornek,fetih,40,6,40.9956672,29.0784307,2.0,0.0,"Örnek Mahallesi, Ataşehir, İstanbul, Marmara Bölgesi, 34704, Türkiye"
atasehir,ornek,ornek,41,45,40.9926322,29.0839497,1.0,0.0,"Örnek Parkı, Örnek Mahallesi, Ataşehir, İstanbul, Marmara Bölgesi, Türkiye"
atasehir,yeni camlica,yeni camlica,42,4,40.988064,29.166911,1.0,0.0,"Yeni Çamlıca, Dursunbey Caddesi, Yeni Çamlıca Mahallesi, Ataşehir, İstanbul, Marmara Bölgesi, 34779, Türkiye"
atasehir,yeni sahra,merkez,43,9,40.9899001,29.0901932,1.0,0.0,"Yenisahra Merkez Camii, Odabaşı Sokağı, Yenisahra Mahallesi, Ataşehir, İstanbul, Marmara Bölgesi, 34746, Türkiye"
avcilar,ambarli,ambarli,44,12,40.9743033,28.7143813,1.0,0.0,"Ambarlı, Fevzi Çakmak Caddesi, Ambarlı Mahallesi, Avcılar, İstanbul, Marmara Bölgesi, 34315, Türkiye"
avcilar,avcilar,cihangir,45,28,40.9873293,28.7097252,1.0,0.0,"Cihangir Mahallesi, Avcılar, İstanbul, Marmara Bölgesi, 34310, Türkiye"
avcilar,avcilar,denizkoskler,46,14,40.9764683,28.7330024,1.0,0.0,"Denizköşkler Mahallesi, Avcılar, İstanbul, Marmara Bölgesi, 34315, Türkiye"
avcilar,avcilar,merkez,47,24,40.9818362,28.7223189,1.0,0.0,"Merkez Mahallesi, Avcılar, İstanbul, Marmara Bölgesi, Türkiye"
avcilar,avcilar,mustafa kemal pasa,48,24,41.0017915,28.7060425,1.0,0.0,"Mustafa Kemal Paşa Mahallesi, Avcılar, İstanbul, Marmara Bölgesi, Türkiye"
avcilar,firuzkoy,firuzkoy,49,6,41.016428,28.70356,1.0,0.0,"Firuzköy, Destan Sokağı, Firuzköy Mahallesi, Avcılar, İstanbul, Marmara Bölgesi, 34325, Türkiye"
avcilar,firuzkoy,tahtakale,50,165,41.0085033,28.7100714,2.0,0.0,"Firuzköy Mahallesi, Avcılar, İstanbul, Marmara Bölgesi, 34325, Türkiye"
avcilar,gumuspala,gumuspala,51,12,40.9807848,28.7352667,1.0,0.0,"Gümüşpala İlkokulu, Gümüşpala Mahallesi, Avcılar, İstanbul, Marmara Bölgesi, Türkiye"
avcilar,gumuspala,universite,52,23,40.98106,28.7357032,2.0,0.0,"Gümüşpala Mahallesi, Avcılar, İstanbul, Marmara Bölgesi, Türkiye"
avcilar,yesilkent,yesilkent,53,27,41.0331409,28.7093766,1.0,0.0,"Yeşilkent Merkez Cami, Tevfik Fikret Caddesi, Yeşilkent Mahallesi, Avcılar, İstanbul, Marmara Bölgesi, 34325, Türkiye"
bagcilar,bagcilar,100. yil,54,7,41.0636561,28.8525699,1.0,0.0,"100. Yıl Mahallesi, Bağcılar, İstanbul, Marmara Bölgesi, Türkiye"
bagcilar,bagcilar,cinar,55,2,41.0368162,28.8605304,1.0,0.0,"Çınar Mahallesi, Bağcılar, İstanbul, Marmara Bölgesi, Türkiye"
