price,area_m2,room_count,district,neighborhood,total_rooms
26000.0,80.0,2+1,sancaktepe,eyup sultan,3.0
25500.0,95.0,2+1,sancaktepe,akpinar,3.0
23750.0,95.0,2+1,sancaktepe,ataturk,3.0
25000.0,120.0,3+1,sancaktepe,yunus emre,4.0
23000.0,120.0,3+1,sancaktepe,sarigazi,4.0
24000.0,75.0,2+1,sancaktepe,safa,3.0
24500.0,90.0,2+1,sancaktepe,yunus emre,3.0
26000.0,115.0,2+1,sancaktepe,kemal turkler,3.0
22500.0,100.0,2+1,sancaktepe,akpinar,3.0
25000.0,70.0,2+1,sancaktepe,akpinar,3.0
25000.0,85.0,2+1,sancaktepe,fatih,3.0
23000.0,85.0,2+1,sancaktepe,yunus emre,3.0
25000.0,90.0,2+1,sancaktepe,eyup sultan,3.0
25500.0,100.0,2+1,sancaktepe,emek,3.0
25000.0,90.0,2+1,sancaktepe,mevlana,3.0
25000.0,130.0,3+1,sancaktepe,inonu,4.0
23000.0,150.0,2+1,sancaktepe,abdurrahmangazi,3.0
23500.0,85.0,2+1,sancaktepe,osmangazi,3.0
24500.0,80.0,2+1,sancaktepe,meclis,3.0
26000.0,120.0,2+1,sancaktepe,kemal turkler,3.0
25000.0,90.0,2+1,sancaktepe,merve,3.0
25000.0,100.0,2+1,sancaktepe,sarigazi,3.0
24500.0,70.0,2+1,sancaktepe,abdurrahmangazi,3.0
25000.0,120.0,2+1,sancaktepe,safa,3.0
26000.0,102.0,2+1,sancaktepe,safa,3.0
25000.0,130.0,3+1,sancaktepe,ataturk,4.0
26000.0,75.0,2+1,sancaktepe,abdurrahmangazi,3.0
25000.0,95.0,2+1,sancaktepe,hilal,3.0
23000.0,90.0,2+1,sancaktepe,emek,3.0
24000.0,70.0,1+1,sancaktepe,osmangazi,2.0
24000.0,185.0,3+1,sancaktepe,veysel karani,4.0
23000.0,75.0,1+1,sancaktepe,abdurrahmangazi,2.0
25000.0,70.0,2+1,sancaktepe,osmangazi,3.0
25000.0,115.0,3+1,sancaktepe,yunus emre,4.0
23500.0,90.0,2+1,sancaktepe,kemal turkler,3.0
26000.0,80.0,2+1,sancaktepe,meclis,3.0
25500.0,55.0,1+1,sancaktepe,osmangazi,2.0
26000.0,120.0,3+1,sancaktepe,ataturk,4.0
25500.0,110.0,2+1,sancaktepe,abdurrahmangazi,3.0
