district,sub_district,neighborhood,location_id,listing_count
besiktas,levazim,levazim,136,13
besiktas,levazim,nisbetiye,137,22
besiktas,levazim,ulus,138,21
besiktas,levent,konaklar,139,9
besiktas,levent,merkez,140,9
besiktas,ortakoy,mecidiye,141,40
besiktas,ortakoy,ortakoy,142,29
besiktas,turkali,muradiye,143,26
besiktas,turkali,turkali,144,40
besiktas,turkali,visnezade,145,35
beykoz,anadoluhisari,anadolu hisari,146,3
beykoz,anadoluhisari,kanlica,147,4
beykoz,anadoluhisari,kavacik,148,57
beykoz,beykoz,gumussuyu,149,8
beykoz,beykoz,merkez,150,2
beykoz,beykoz,ortacesme,151,12
beykoz,beykoz,tokatkoy,152,9
beykoz,beykoz,yeni mahalle,153,11
beykoz,cavusbasi,baklaci,154,1
beykoz,cavusbasi,cavusbasi ciftlik,155,7
beykoz,cavusbasi,cengeldere,156,1
beykoz,cavusbasi,fatih,157,5
beykoz,cavusbasi,yavuz selim,158,4
beykoz,cubuklu,cubuklu,159,19
beykoz,cubuklu,ruzgarlibahce,160,4
beykoz,goksu,goksu,161,4
beykoz,goksu,goztepe,162,10
beykoz,koyler,dereseki,163,2
beykoz,koyler,elmali,164,1
beykoz,koyler,ornekkoy,165,4
beykoz,koyler,pasamandira,166,1
beykoz,koyler,riva,167,1
beykoz,pasabahce,acarlar,168,6
beykoz,pasabahce,cigdem,169,9
beykoz,pasabahce,i̇ncirkoy,170,7
beykoz,pasabahce,pasabahce,171,7
beykoz,pasabahce,soguksu,172,15
beykoz,tokatkoy,camlibahce,173,4
beykoz,tokatkoy,yalikoy,174,7
beylikduzu,gurpinar,adnan kahveci,175,85
beylikduzu,gurpinar,dereagzi,176,15
beylikduzu,gurpinar,gurpinar,177,17
beylikduzu,kavakli,baris,178,42
beylikduzu,kavakli,buyuksehir,179,9
beylikduzu,kavakli,cumhuriyet,180,39
beylikduzu,kavakli,kavakli,181,95
beylikduzu,kavakli,sahil,182,25
beylikduzu,yakuplu,marmara,183,41
beylikduzu,yakuplu,merkez,184,54
beyoglu,arapcami,bereketzade,185,8
beyoglu,arapcami,sahkulu,186,9
beyoglu,cihangir,firuzaga,187,12
beyoglu,cihangir,katip mustafa celebi,188,7
beyoglu,cihangir,kilicali pasa,189,7
beyoglu,cihangir,kuloglu,190,8
beyoglu,cihangir,merkez,191,28
beyoglu,cihangir,tomtom,192,11
beyoglu,halicioglu,fetihtepe,193,14
beyoglu,halicioglu,halicioglu,194,10
beyoglu,halicioglu,kececi piri,195,5
beyoglu,halicioglu,ornektepe,196,12
beyoglu,halicioglu,piri pasa,197,11
beyoglu,halicioglu,sutluce,198,11
beyoglu,i̇stiklal,asmali mescit,199,2
beyoglu,i̇stiklal,catma mescit,200,4
beyoglu,kasimpasa,bedrettin,201,2
beyoglu,kasimpasa,camiikebir,202,3
beyoglu,kasimpasa,haciahmet,203,18
beyoglu,kasimpasa,i̇stiklal,204,7
beyoglu,kasimpasa,kadimehmet efendi,205,3
beyoglu,kasimpasa,kaptanpasa,206,10
beyoglu,kasimpasa,kucuk piyale,207,6
beyoglu,kasimpasa,kulaksiz,208,6
beyoglu,kasimpasa,piyalepasa,209,10
beyoglu,kasimpasa,yahya kahya,210,1
beyoglu,kemankes,hacimimi,211,14
beyoglu,kemankes,kemankes karamustafa pasa,212,2
beyoglu,kemankes,mueyyetzade,213,3
beyoglu,purtelas,omer avni,214,13
beyoglu,purtelas,purtelas hasan efendi,215,12
beyoglu,taksim,gumussuyu,216,14
beyoglu,taksim,kocatepe,217,5
beyoglu,tarlabasi,bostan,218,3
beyoglu,tarlabasi,bulbul,219,4
beyoglu,tarlabasi,cukur,220,2
beyoglu,tarlabasi,huseyinaga,221,2
beyoglu,tarlabasi,kalyoncu kullugu,222,9
beyoglu,tarlabasi,kamer hatun,223,3
beyoglu,tarlabasi,sehit muhtar,224,8
beyoglu,tarlabasi,sururi mehmet efendi,225,6
beyoglu,yenisehir,yenisehir,226,13
buyukcekmece,buyukcekmece,19 mayis,227,2
buyukcekmece,buyukcekmece,alkent 2000,228,9
buyukcekmece,buyukcekmece,ataturk,229,15
buyukcekmece,buyukcekmece,cakmakli,230,7
buyukcekmece,buyukcekmece,cumhuriyet,231,17
buyukcekmece,buyukcekmece,dizdariye,232,3
buyukcekmece,buyukcekmece,fatih,233,6
buyukcekmece,buyukcekmece,pinartepe,234,33
buyukcekmece,buyukcekmece,yenimahalle,235,2
buyukcekmece,celaliye(kamiloba),celaliye,236,12
buyukcekmece,celaliye(kamiloba),kamiloba,237,14
buyukcekmece,kumburgaz,bahcelievler,238,9
buyukcekmece,kumburgaz,guzelce,239,7
buyukcekmece,kumburgaz,kumburgaz,240,14
buyukcekmece,merkez,mimaroba,241,20
buyukcekmece,merkez,sinanoba,242,14
buyukcekmece,mimarsinan,ekinoba,243,18
buyukcekmece,mimarsinan,mimar sinan merkez,244,14
buyukcekmece,mimarsinan,murat cesme,245,5
buyukcekmece,tepecik,hurriyet,246,11
buyukcekmece,tepecik,turkoba,247,4
buyukcekmece,tepecik,ulus,248,5
catalca,catalca,ferhatpasa,249,10
catalca,catalca,i̇zzettin,250,1
catalca,merkez,nakkas,251,1
cekmekoy,alemdag(alemdar),alemdag,252,18
cekmekoy,alemdag(alemdar),catalmese,253,30
cekmekoy,alemdag(alemdar),eksioglu,254,16
cekmekoy,alemdag(alemdar),nisantepe,255,36
cekmekoy,cekmekoy,camlik,256,21
cekmekoy,cekmekoy,hamidiye,257,34
cekmekoy,cekmekoy,mehmet akif,258,47
cekmekoy,cekmekoy,merkez,259,60
cekmekoy,cekmekoy,mimar sinan,260,35
cekmekoy,koyler,resadiye,261,1
cekmekoy,tasdelen,aydinlar,262,23
cekmekoy,tasdelen,cumhuriyet,263,35
cekmekoy,tasdelen,gungoren,264,100
cekmekoy,tasdelen,kirazlidere,265,19
cekmekoy,tasdelen,sogukpinar,266,22
cekmekoy,tasdelen,sultanciftligi,267,33
cekmekoy,tasdelen,tasdelen,268,32
esenler,birlik,atisalani,269,10
esenler,birlik,merkez,270,5
esenler,esenler,cifte havuzlar,271,2
esenler,esenler,fevzi cakmak,272,5
esenler,esenler,kemer,273,6
esenler,esenler,menderes,274,4
esenler,esenler,mimar sinan,275,3
esenler,esenler,namik kemal,276,5
esenler,esenler,nine hatun,277,6
esenler,karabayir,fatih,278,6
esenler,karabayir,kazim karabekir,279,6
esenler,karabayir,tuna,280,3
esenler,sanayi,15 temmuz,281,1
esenler,sanayi,orucreis,282,6
esenler,sanayi,turgut reis,283,9
esenyurt,esenyurt,akcaburgaz,284,13
esenyurt,esenyurt,akevler,285,37
esenyurt,esenyurt,aksemseddin,286,1
esenyurt,esenyurt,ardicli,287,35
esenyurt,esenyurt,asik veysel,288,17
esenyurt,esenyurt,ataturk,289,4
esenyurt,esenyurt,balikyolu,290,11
esenyurt,esenyurt,barbaros hayrettin pasa,291,72
esenyurt,esenyurt,battalgazi,292,8
esenyurt,esenyurt,cinar,293,17
esenyurt,esenyurt,cumhuriyet,294,29
esenyurt,esenyurt,esenkent,295,12
esenyurt,esenyurt,fatih,296,10
esenyurt,esenyurt,gokevler,297,45
esenyurt,esenyurt,hurriyet,298,10
esenyurt,esenyurt,i̇ncirtepe,299,22
esenyurt,esenyurt,i̇nonu,300,8
esenyurt,esenyurt,koza,301,91
esenyurt,esenyurt,mehmet akif ersoy,302,18
esenyurt,esenyurt,mehtercesme,303,23
esenyurt,esenyurt,merkez,304,17
esenyurt,esenyurt,mevlana,305,8
esenyurt,esenyurt,namik kemal,306,8
esenyurt,esenyurt,necip fazil kisakurek,307,11
esenyurt,esenyurt,orhan gazi,308,36
esenyurt,esenyurt,ornek,309,7
esenyurt,esenyurt,osmangazi,310,5
esenyurt,esenyurt,pinar,311,29
esenyurt,esenyurt,piri reis,312,48
esenyurt,esenyurt,saadetdere,313,7
esenyurt,esenyurt,sehitler,314,3
esenyurt,esenyurt,selahaddin eyyubi,315,19
esenyurt,esenyurt,suleymaniye,316,7
esenyurt,esenyurt,sultaniye,317,27
esenyurt,esenyurt,talatpasa,318,16
esenyurt,esenyurt,turgut ozal,319,16
esenyurt,esenyurt,ucevler,320,20
esenyurt,esenyurt,yenikent,321,14
esenyurt,esenyurt,yesilkent,322,68
esenyurt,esenyurt,yunus emre,323,16
esenyurt,esenyurt,zafer,324,80
esenyurt,haramidere,guzelyurt,325,30
esenyurt,kirac,i̇stiklal,326,5
eyupsultan,alibeykoy,5. levent,327,49
eyupsultan,alibeykoy,alibeykoy,328,16
eyupsultan,alibeykoy,emniyettepe,329,20
eyupsultan,alibeykoy,guzeltepe,330,29
eyupsultan,circir,aksemsettin,331,19
eyupsultan,circir,circir,332,32
eyupsultan,eyupsultan,esentepe,333,31
eyupsultan,eyupsultan,i̇slambey,334,12
eyupsultan,eyupsultan,merkez,335,10
eyupsultan,eyupsultan,nisanci,336,8
eyupsultan,eyupsultan,sakarya,337,6
eyupsultan,eyupsultan,silahtaraga,338,12
eyupsultan,gokturk,gokturk merkez,339,127
eyupsultan,kemerburgaz,mimar sinan,340,15
eyupsultan,kemerburgaz,mithatpasa,341,42
eyupsultan,rami,dugmeciler,342,9
eyupsultan,rami,rami cuma,343,3
eyupsultan,rami,rami yeni,344,7
eyupsultan,rami,topcular,345,13
eyupsultan,yesilpinar,karadolap,346,23
eyupsultan,yesilpinar,yesilpinar,347,21
fatih,akdeniz,aksemsettin,348,11
fatih,akdeniz,i̇skenderpasa,349,7
fatih,aksaray,molla gurani,350,21
fatih,aksaray,topkapi,351,9
fatih,beyazit,emin sinan,352,2
fatih,fatih,cerrahpasa,353,9
fatih,fatih,karagumruk,354,4
fatih,fener,atikali,355,4
fatih,fener,ayvansaray,356,8
fatih,fener,balat,357,16
fatih,fener,dervis ali,358,7
fatih,fevzipasa,ali kuscu,359,5
fatih,fevzipasa,hirka-i serif,360,6
fatih,fevzipasa,zeyrek,361,3
fatih,haseki,aksaray,362,12
fatih,haseki,haseki sultan,363,6
fatih,kocamustafapasa,koca mustafapasa,364,10
fatih,kocamustafapasa,seyyid omer,365,10
fatih,kocamustafapasa,silivrikapi,366,6
fatih,kocamustafapasa,sumbul efendi,367,1
fatih,kucukmustafapasa,cibali,368,5
fatih,kucukmustafapasa,yavuz sultan selim,369,7
fatih,kumkapi,katip kasim,370,2
fatih,kumkapi,muhsine hatun,371,2
fatih,kumkapi,nisanca,372,3
fatih,mevlanakapi,mevlanakapi,373,6
fatih,sehremini,sehremini,374,19
fatih,sultanahmet,binbirdirek,375,1
fatih,vefa,demirtas,376,1
fatih,vefa,haci kadin,377,1
fatih,vefa,kemal pasa,378,2
fatih,vefa,molla husrev,379,2
fatih,yedikule,merkez,380,7
gaziosmanpasa,fevzicakmak,fevzi cakmak,381,10
gaziosmanpasa,fevzicakmak,karayollari,382,26
gaziosmanpasa,fevzicakmak,mevlana,383,16
gaziosmanpasa,gaziosmanpasa,baglarbasi,384,22
gaziosmanpasa,gaziosmanpasa,merkez,385,18
gaziosmanpasa,gaziosmanpasa,sarigol,386,12
gaziosmanpasa,kazimkarabekir,kazim karabekir,387,15
gaziosmanpasa,kucukkoy,barbaros hayrettinpasa,388,14
gaziosmanpasa,kucukkoy,hurriyet,389,6
gaziosmanpasa,kucukkoy,karadeniz,390,47
gaziosmanpasa,kucukkoy,semsipasa,391,6
gaziosmanpasa,kucukkoy,yeni mahalle,392,20
gaziosmanpasa,yildiztabya,karlitepe,393,5
gaziosmanpasa,yildiztabya,pazarici,394,5
gaziosmanpasa,yildiztabya,yenidogan,395,5
gaziosmanpasa,yildiztabya,yildiztabya,396,17
gungoren,abdurrahman nafiz gurman,abdurrahman nafiz gurman,397,8
gungoren,akincilar,akincilar,398,2
gungoren,akincilar,guven,399,3
gungoren,akincilar,maresal cakmak,400,1
gungoren,gungoren,gunestepe,401,4
gungoren,gungoren,merkez,402,6
gungoren,haznedar,merkez,403,5
gungoren,sanayi,gencosman,404,5
gungoren,sanayi,merkez,405,2
gungoren,tozkoparan,mehmet nesih ozmen,406,1
gungoren,tozkoparan,merkez,407,3
kadikoy,19 mayis,19 mayis,408,27
kadikoy,acibadem,acibadem,409,19
kadikoy,bostanci,bostanci,410,47
kadikoy,caddebostan,merkez,411,31
kadikoy,caferaga,caferaga,412,48
kadikoy,egitim,egitim,413,17
kadikoy,erenkoy,erenkoy,414,41
kadikoy,fenerbahce,fenerbahce,415,24
kadikoy,feneryolu,merkez,416,18
kadikoy,feneryolu,zuhtupasa,417,16
kadikoy,fikirtepe,dumlupinar,418,63
kadikoy,fikirtepe,merkez,419,28
kadikoy,goztepe,goztepe,420,48
kadikoy,hasanpasa,hasanpasa,421,17
kadikoy,kosuyolu,kosuyolu,422,5
kadikoy,kozyatagi,kozyatagi,423,39
kadikoy,merdivenkoy,merdivenkoy,424,32
kadikoy,osmanaga,osmanaga,425,42
kadikoy,rasimpasa,rasimpasa,426,34
kadikoy,sahrayicedit,sahrayi cedit,427,23
kadikoy,suadiye,merkez,428,51
kagithane,caglayan,caglayan,429,59
kagithane,caglayan,hurriyet,430,34
kagithane,celiktepe,celiktepe,431,50
kagithane,gultepe,gultepe,432,38
kagithane,gultepe,harmantepe,433,42
kagithane,gultepe,ortabayir,434,57
kagithane,gultepe,telsizler,435,33
kagithane,gultepe,yahya kemal,436,37
kagithane,hamidiye,merkez,437,113
kagithane,kagithane,gursel,438,35
kagithane,kagithane,mehmet akif ersoy,439,14
kagithane,kagithane,merkez,440,67
kagithane,kagithane,nurtepe,441,28
kagithane,kagithane,talatpasa,442,62
kagithane,seyrantepe,merkez,443,48
kagithane,seyrantepe,yesilce,444,12
kagithane,sirintepe,emniyet evleri,445,17
kagithane,sirintepe,sirintepe,446,16
kagithane,sirintepe,sultan selim,447,23
kartal,dragos,orhantepe,448,22
kartal,esentepe,karliktepe,449,27
kartal,esentepe,merkez,450,28
kartal,orhantepe,cevizli,451,19
kartal,rahmanlar (atalar),atalar,452,22
kartal,rahmanlar (atalar),kordonboyu,453,49
kartal,rahmanlar (atalar),petrolis,454,8
kartal,rahmanlar (atalar),yukari,455,3
kartal,soganlik,gumuspinar,456,15
kartal,soganlik,orta,457,13
kartal,soganlik,soganlik yeni,458,30
kartal,topselvi,cavusoglu,459,7
kartal,topselvi,merkez,460,8
kartal,topselvi,yali,461,14
kartal,topselvi,yunus,462,12
kartal,ugurmumcu,ugur mumcu,463,11
kartal,yakacik,cumhuriyet,464,15
kartal,yakacik,hurriyet,465,76
kartal,yakacik,yakacik carsi,466,12
kartal,yakacik,yakacik yeni,467,17
kucukcekmece,cennet,merkez,468,10
kucukcekmece,cennet,yeni mahalle,469,5
kucukcekmece,halkali,atakent,470,173
kucukcekmece,halkali,ataturk,471,26
kucukcekmece,halkali,halkali merkez,472,47
kucukcekmece,halkali,mehmet akif,473,11
kucukcekmece,merkez,cumhuriyet,474,21
kucukcekmece,merkez,fatih,475,14
kucukcekmece,merkez,i̇stasyon,476,19
kucukcekmece,merkez,kanarya,477,11
kucukcekmece,sefakoy,besyol,478,1
kucukcekmece,sefakoy,fevzi cakmak,479,36
kucukcekmece,sefakoy,gultepe,480,24
kucukcekmece,sefakoy,i̇nonu,481,41
kucukcekmece,sefakoy,kartaltepe,482,16
kucukcekmece,sefakoy,kemalpasa,483,6
kucukcekmece,sefakoy,sogutlu cesme,484,10
kucukcekmece,sefakoy,sultan murat,485,14
kucukcekmece,sefakoy,tevfik bey,486,13
kucukcekmece,sefakoy,yesilova,487,10
kucukcekmece,yarimburgaz,yarimburgaz,488,4
maltepe,aydinevler,aydinevler,489,33
maltepe,aydinevler,basibuyuk,490,24
maltepe,aydinevler,findikli,491,94
maltepe,cevizli,merkez,492,68
maltepe,esenkent,merkez,493,6
maltepe,ferhatpasa,buyukbakkalkoy,494,24
maltepe,feyzullah,merkez,495,20
maltepe,gulsuyu,gulensu,496,3
maltepe,gulsuyu,gulsuyu,497,5
maltepe,i̇dealtepe,altaycesme,498,30
maltepe,i̇dealtepe,cinar,499,22
maltepe,i̇dealtepe,i̇dealtepe,500,33
maltepe,kucukyali,altintepe,501,38
maltepe,kucukyali,kucukyali,502,28
maltepe,yali,baglarbasi,503,28
maltepe,yali,yali,504,23
maltepe,zumrutevler,girne,505,19
maltepe,zumrutevler,zumrutevler,506,87
pendik,bahcelievler,bahcelievler,507,9
pendik,bahcelievler,sapan baglari,508,7
pendik,bahcelievler,yeni,509,9
pendik,bahcelievler,yesilbaglar,510,5
pendik,camcesme,camcesme,511,28
pendik,camcesme,esenler,512,27
pendik,camcesme,fevzi cakmak,513,35
pendik,camcesme,kavakpinar,514,46
pendik,carsi,bati,515,17
pendik,carsi,dogu,516,18
pendik,carsi,kaynarca,517,37
pendik,dolayoba,cinardere,518,34
pendik,dolayoba,dumlupinar,519,22
pendik,dolayoba,orta,520,1
pendik,dolayoba,velibaba,521,35
pendik,esenyali,ahmet yesevi,522,26
pendik,esenyali,esenyali,523,15
pendik,esenyali,fatih,524,13
pendik,esenyali,guzelyali,525,20
pendik,esenyali,orhangazi,526,17
pendik,koyler,gocbeyli,527,1
pendik,seyhli,gullu baglar,528,20
pendik,seyhli,sanayi,529,2
pendik,seyhli,seyhli,530,6
pendik,yayalar,merkez,531,16
pendik,yayalar,suluntepe,532,20
pendik,yenisehir,camlik,533,36
pendik,yenisehir,harmandere,534,39
pendik,yenisehir,kurtkoy,535,65
pendik,yenisehir,yenisehir,536,189
sancaktepe,samandira,abdurrahmangazi,537,75
sancaktepe,samandira,akpinar,538,18
sancaktepe,samandira,eyup sultan,539,26
sancaktepe,samandira,fatih,540,32
sancaktepe,samandira,osmangazi,541,48
sancaktepe,samandira,veysel karani,542,26
sancaktepe,sarigazi,ataturk,543,28
sancaktepe,sarigazi,emek,544,47
sancaktepe,sarigazi,i̇nonu,545,19
sancaktepe,sarigazi,kemal turkler,546,21
sancaktepe,sarigazi,meclis,547,39
sancaktepe,sarigazi,sarigazi,548,22
sancaktepe,yenidogan,hilal,549,3
sancaktepe,yenidogan,merve,550,11
sancaktepe,yenidogan,mevlana,551,26
sancaktepe,yenidogan,safa,552,29
sancaktepe,yenidogan,yenidogan,553,11
sancaktepe,yenidogan,yunus emre,554,25
sariyer,bahcekoy,bahcekoy kemer,555,2
sariyer,bahcekoy,bahcekoy merkez,556,6
sariyer,bahcekoy,bahcekoy yeni,557,3
sariyer,buyukdere,buyukdere,558,17
sariyer,buyukdere,cayirbasi,559,1
sariyer,buyukdere,kazim karabekir pasa,560,7
sariyer,buyukdere,ptt evleri,561,2
sariyer,emirgan,merkez,562,6
sariyer,emirgan,resitpasa,563,19
sariyer,i̇stinye,i̇stinye,564,16
sariyer,i̇stinye,pinar,565,6
sariyer,i̇stinye,poligon,566,6
sariyer,koyler,garipce,567,1
sariyer,koyler,kumkoy,568,3
sariyer,koyler,uskumrukoy,569,8
sariyer,koyler,zekeriyakoy,570,53
sariyer,merkez,ayazaga,571,89
sariyer,merkez,huzur,572,55
sariyer,merkez,maslak,573,113
sariyer,rumelihisari,baltalimani,574,2
sariyer,rumelihisari,fatih sultan mehmet,575,5
sariyer,rumelihisari,rumeli hisari,576,12
sariyer,sariyer,maden,577,43
sariyer,sariyer,sariyer merkez,578,10
sariyer,sariyer,yeni,579,5
sariyer,tarabya,camlitepe,580,1
sariyer,tarabya,cumhuriyet,581,19
sariyer,tarabya,darussafaka,582,8
sariyer,tarabya,ferahevler,583,22
sariyer,tarabya,kirecburnu,584,21
